k = 001, n = 0, sim = 99.99%: [ ]
k = 003, n = 0, sim = 80.10%: [ ]
k = 005, n = 1, sim = 86.58%: [ 0 ]
k = 007, n = 2, sim = 95.24%: [ 0, 0 ]
k = 225, n = 9, sim = 96.68%: [ 6, 8, 9, 10, 11, 12, 13, 15, 16 ]
k = 227, n = 9, sim = 96.53%: [ 6, 8, 10, 10, 11, 12, 13, 15, 16 ]
k = 229, n = 9, sim = 96.68%: [ 6, 8, 10, 11, 12, 13, 14, 15, 16 ]
k = 231, n = 9, sim = 96.86%: [ 6, 8, 10, 11, 12, 13, 14, 15, 16 ]
k = 233, n = 9, sim = 96.93%: [ 6, 8, 10, 11, 12, 13, 14, 15, 16 ]
k = 235, n = 9, sim = 96.84%: [ 6, 8, 10, 11, 12, 13, 14, 16, 16 ]
k = 237, n = 9, sim = 96.77%: [ 6, 8, 10, 11, 12, 13, 14, 16, 16 ]
k = 239, n = 9, sim = 96.85%: [ 6, 8, 10, 11, 12, 13, 15, 16, 17 ]
k = 241, n = 9, sim = 96.87%: [ 6, 8, 10, 11, 12, 13, 15, 16, 17 ]
k = 243, n = 9, sim = 96.74%: [ 6, 8, 10, 11, 12, 13, 15, 16, 17 ]
k = 245, n = 9, sim = 96.52%: [ 6, 8, 10, 11, 12, 13, 15, 16, 17 ]
k = 247, n = 9, sim = 96.49%: [ 6, 8, 11, 12, 13, 14, 15, 16, 17 ]
k = 249, n = 9, sim = 96.49%: [ 6, 8, 11, 12, 13, 14, 15, 16, 17 ]
k = 251, n = 9, sim = 96.55%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 253, n = 9, sim = 96.76%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 255, n = 9, sim = 96.88%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 257, n = 9, sim = 96.88%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 259, n = 9, sim = 96.77%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 261, n = 9, sim = 96.54%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 263, n = 9, sim = 96.23%: [ 7, 9, 11, 12, 13, 14, 15, 17, 18 ]
k = 265, n = 9, sim = 96.37%: [ 7, 9, 11, 13, 13, 15, 16, 18, 19 ]
k = 267, n = 9, sim = 96.46%: [ 7, 9, 11, 13, 13, 15, 16, 18, 19 ]
k = 269, n = 9, sim = 96.48%: [ 7, 9, 11, 13, 13, 15, 16, 18, 19 ]
k = 271, n = 9, sim = 96.43%: [ 7, 9, 11, 13, 14, 15, 16, 18, 19 ]
k = 273, n = 9, sim = 96.42%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 275, n = 9, sim = 96.56%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 277, n = 9, sim = 96.61%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 279, n = 9, sim = 96.56%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 281, n = 9, sim = 96.41%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 283, n = 9, sim = 96.18%: [ 7, 9, 11, 13, 14, 15, 17, 19, 20 ]
k = 285, n = 9, sim = 96.07%: [ 8, 10, 12, 13, 14, 16, 17, 19, 20 ]
k = 287, n = 9, sim = 95.99%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 289, n = 9, sim = 96.24%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 291, n = 9, sim = 96.45%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 293, n = 9, sim = 96.60%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 295, n = 9, sim = 96.67%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 297, n = 9, sim = 96.63%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 299, n = 9, sim = 96.50%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 301, n = 9, sim = 96.27%: [ 8, 10, 12, 14, 15, 16, 18, 20, 21 ]
k = 303, n = 9, sim = 95.99%: [ 8, 10, 12, 14, 15, 17, 18, 20, 21 ]
k = 305, n = 9, sim = 95.84%: [ 8, 10, 13, 14, 16, 17, 19, 20, 21 ]
k = 307, n = 9, sim = 95.76%: [ 8, 10, 13, 14, 16, 17, 19, 20, 21 ]
k = 309, n = 9, sim = 95.69%: [ 9, 11, 13, 14, 16, 17, 19, 21, 22 ]
k = 311, n = 9, sim = 95.71%: [ 9, 11, 13, 14, 16, 17, 19, 21, 22 ]
k = 313, n = 9, sim = 95.72%: [ 9, 11, 13, 15, 16, 17, 19, 21, 22 ]
k = 315, n = 9, sim = 95.71%: [ 9, 11, 13, 15, 16, 17, 19, 21, 22 ]
k = 317, n = 9, sim = 95.64%: [ 9, 11, 13, 15, 16, 17, 19, 21, 22 ]
k = 319, n = 9, sim = 95.53%: [ 9, 11, 13, 15, 16, 17, 19, 21, 22 ]
k = 321, n = 9, sim = 95.63%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 323, n = 9, sim = 95.69%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 325, n = 9, sim = 95.70%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 327, n = 9, sim = 95.67%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 329, n = 9, sim = 95.57%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 331, n = 9, sim = 95.44%: [ 9, 11, 13, 15, 17, 18, 20, 22, 23 ]
k = 333, n = 9, sim = 95.32%: [ 9, 11, 14, 15, 17, 19, 21, 22, 23 ]
k = 335, n = 9, sim = 95.27%: [ 10, 12, 14, 15, 17, 19, 21, 23, 24 ]
k = 337, n = 9, sim = 95.34%: [ 10, 12, 14, 15, 17, 19, 21, 23, 24 ]
k = 339, n = 9, sim = 95.38%: [ 10, 12, 14, 15, 17, 19, 21, 23, 24 ]
k = 341, n = 9, sim = 95.36%: [ 10, 12, 14, 16, 18, 19, 21, 23, 24 ]
k = 343, n = 9, sim = 95.37%: [ 10, 12, 14, 16, 18, 19, 21, 23, 24 ]
k = 345, n = 9, sim = 95.34%: [ 10, 12, 14, 16, 18, 19, 21, 23, 24 ]
k = 347, n = 9, sim = 95.27%: [ 10, 12, 14, 16, 18, 19, 21, 23, 24 ]
k = 349, n = 9, sim = 95.16%: [ 10, 12, 14, 16, 18, 19, 21, 23, 24 ]
k = 351, n = 9, sim = 95.75%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 353, n = 9, sim = 95.79%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 355, n = 9, sim = 95.78%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 357, n = 9, sim = 95.74%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 359, n = 9, sim = 95.64%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 361, n = 9, sim = 95.50%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 363, n = 9, sim = 95.32%: [ 10, 12, 15, 16, 18, 20, 22, 24, 25 ]
k = 365, n = 9, sim = 95.11%: [ 10, 13, 15, 17, 19, 21, 23, 25, 26 ]
k = 367, n = 9, sim = 95.15%: [ 10, 13, 15, 17, 19, 21, 23, 25, 26 ]
k = 369, n = 9, sim = 95.14%: [ 10, 13, 15, 17, 19, 21, 23, 25, 26 ]
k = 371, n = 9, sim = 95.11%: [ 10, 13, 15, 17, 19, 21, 23, 25, 26 ]
k = 373, n = 9, sim = 95.19%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 375, n = 9, sim = 95.35%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 377, n = 9, sim = 95.47%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 379, n = 9, sim = 95.58%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 381, n = 9, sim = 95.65%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 383, n = 9, sim = 95.69%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 385, n = 9, sim = 95.70%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 387, n = 9, sim = 95.66%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 389, n = 9, sim = 95.59%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 391, n = 9, sim = 95.48%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 393, n = 9, sim = 95.34%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 395, n = 9, sim = 95.17%: [ 10, 13, 16, 18, 20, 22, 24, 26, 27 ]
k = 397, n = 9, sim = 95.13%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 399, n = 9, sim = 95.18%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 401, n = 9, sim = 95.20%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 403, n = 9, sim = 95.19%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 405, n = 9, sim = 95.16%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 407, n = 9, sim = 95.10%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 409, n = 9, sim = 95.00%: [ 11, 14, 17, 19, 21, 23, 25, 27, 28 ]
k = 411, n = 10, sim = 97.13%: [ 10, 13, 15, 17, 19, 21, 23, 25, 27, 28 ]
k = 413, n = 10, sim = 97.12%: [ 10, 13, 15, 17, 19, 21, 23, 25, 27, 28 ]
k = 415, n = 10, sim = 97.03%: [ 10, 13, 15, 17, 19, 21, 23, 25, 27, 28 ]
k = 417, n = 10, sim = 97.01%: [ 10, 13, 16, 18, 20, 22, 23, 25, 27, 28 ]
